name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
Tasty Treat-Tt Ghorashal Highway,"Beside PRAN-RFL School,polash",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT - Danga,"CTL Danga,polash",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Palash Bazar,"Wapda gate, notun bazar, polash",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-RIP Factory,"RIP Factory canteen , polash",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Shibpur bazar ,"H.B Tower ,shibpur sadar road",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Nar.College gate,"Narsingdi College gate, Narsingdi sadar",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Ghorashal Bazzar ,"Station road ,Ghorashal bazar,polash",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat Gausia,"Goal chottor,vulta gousia, Rupgonj",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Araihazar,"Latif bhuyan market,college road, Araihazar",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tikatuli,"2/F, Avoy Das Lane, Takatuli, Wari",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Gopibagh,"Shop#11, 53-53/1, Neer Chaya Bithi, R.K Mission Road, Gopibagh ",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Kakrail,Dhaka","89/1,Kakrail road ,Kakrail",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Mouchak ,Dhaka","238/1,Maruf Market,Mouchak Mor, Malibagh",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Purana Polton-2,Dhaka","11, Purana Polton",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-DR Tower, Dhaka","DR Tower, Puraton polton",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Doinik Banglar Mor, Dhaka","28-A/2-1, DIT Extension road, Fokirapool, Motijheel",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
